Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Leluaitta Varastomyymälä,Tinks Juhlakauppa,Wolt
1-os-kortti-mutturalla-originaali-mutturalla-annika-nykanen,1-os kortti MuttuRalla originaali MuttuRalla/Annika Nykänen,Title,Default Title,,,,,2742767,,,not stocked,0,not stocked
kimalleliima-varilajitelma-cameleon-papers-10x9-5ml-10-varia,"Kimalleliima värilajitelma Cameleon Papers 10x9,5ml 10 väriä",Title,Default Title,,,,,574,,,not stocked,0,not stocked
kimallesetti-20-osainen-setti-sisaltaa-20-varia,Kimallesetti 20-osainen Setti sisältää 20 väriä,Title,Default Title,,,,,577,,,not stocked,0,not stocked
kaksipuoleinen-tarratyyny-5x5mm-400-kpl-pss,"Kaksipuoleinen tarratyyny 5x5mm, 400 kpl/pss",Title,Default Title,,,,,57001,,,not stocked,11,not stocked
tarra-kt20-muumi,Tarra KT20 Muumitarrat,Title,Default Title,,,,,351177,,,not stocked,0,not stocked
glitterisydamet-tarralla-luonnovalk-12-sydantarraa-arkilla,Glitterisydämet tarralla luonnovalk 12 sydäntarraa arkilla,Title,Default Title,,,,,60101,,,not stocked,6,not stocked
kierrevihko-a5-40l-marimekko-unikko-harmaamusta,Kierrevihko A5/40L Marimekko Unikko harmaamusta,Title,Default Title,,,,,12127,,,not stocked,0,not stocked
kierrevihko-a5-40l-marimekko-lokki-mustavalkoinen,Kierrevihko A5/40L Marimekko Lokki mustavalkoinen,Title,Default Title,,,,,12128,,,not stocked,0,not stocked
kierrevihko-a5-40l-marimekko-unikko-oranssi,Kierrevihko A5/40L Marimekko Unikko Oranssi,Title,Default Title,,,,,12126,,,not stocked,-1,not stocked
kierrevihko-a5-40l-marimekko-rasymatto-multicolor,Kierrevihko A5/40L Marimekko Räsymatto Multicolor,Title,Default Title,,,,,12125,,,not stocked,0,not stocked
kierrevihko-a5-40l-marimekko-tasaraita-mustavalkoinen,Kierrevihko A5/40L Marimekko Tasaraita Mustavalkoinen,Title,Default Title,,,,,12123,,,not stocked,4,not stocked
kierrevihko-a5-40l-marimekko-rasymatto-mustavalkoinen,Kierrevihko A5/40L Marimekko Räsymatto Mustavalkoinen,Title,Default Title,,,,,12121,,,not stocked,0,not stocked
create-your-funny-farm-tarrakirja,Create your Funny Farm Tarrakirja,Title,Default Title,,,,,0411585,,,not stocked,0,not stocked
ylvi-the-minimoomis-pehmoyksisarvinen-pieni,"Ylvi & the Minimoomis Pehmoyksisarvinen, pieni",Title,Default Title,,,,,0410243,,,not stocked,0,not stocked
miss-melody-puuvarikynat,Miss Melody Puuvärikynät 10 kpl,Title,Default Title,,,,,047461,,,not stocked,0,not stocked
ylvi-the-minimoomis-pehmoavaimenpera,Ylvi & the Minimoomis Pehmoavaimenperä,Title,Default Title,,,,,0410823,,,not stocked,0,not stocked
princess-mimi-scrunchies-mini-mum,Princess Mimi Scrunchies MINI & MUM,Title,Default Title,,,,,0411606,,,not stocked,0,not stocked
princess-mimi-saastolipas,Princess Mimi Säästölipas,Title,Default Title,,,,,0410374,,,not stocked,0,not stocked
shetlanninponin-varsa-s-mojo,"Shetlanninponin varsa S , Mojö",Title,Default Title,,,,,38723200,,,not stocked,0,not stocked
t-rex-1-40-deluxe-ii-mojo,"T-Rex 1:40 Deluxe II, Mojö",Title,Default Title,,,,,38704100,,,not stocked,0,not stocked
viking-city-kylanraitti-rakennussetti-41-osaa,"Viking City Kylänraitti -Rakennussetti, 41 osaa",Title,Default Title,,,,,49-5585,,,not stocked,0,not stocked
kokoa-oma-autosi-viking-toys,Kokoa Oma Autosi | Viking Toys,Title,Default Title,,,,,"",,,-1,16,not stocked
leikkien-lacing-toy-vehicles,"Leikkien Lacing Toy, Vehicles",Title,Default Title,,,,,L30020,,,not stocked,0,not stocked
leikkien-lacing-toy-dolls,"Leikkien Lacing Toy, Dolls",Title,Default Title,,,,,L30021,,,not stocked,0,not stocked
leikkien-aikalaatikko,Leikkien Aikalaatikko,Title,Default Title,,,,,L30014,,,not stocked,0,not stocked
leikkien-matikka-agentti,Leikkien Matikka-agentti,Title,Default Title,,,,,L30008,,,not stocked,0,not stocked
smart-games-three-little-piggies,"Smart Games, Three Little Piggies",Title,Default Title,,,,,SG023,,,not stocked,0,not stocked
smart-games-smart-farmer,"Smart Games, Smart Farmer",Title,Default Title,,,,,SG091,,,not stocked,0,not stocked
smart-games-dinosaurs,"Smart Games, Dinosaurs",Title,Default Title,,,,,SG282,,,not stocked,0,not stocked
smart-games-road-block,"Smart Games, Road Block",Title,Default Title,,,,,SG250,,,not stocked,0,not stocked
smart-games-squirrels-go-nuts,"Smart Games, Squirrels Go Nuts",Title,Default Title,,,,,SG425,,,not stocked,0,not stocked
smart-games-jump-in,"Smart Games, Jump In",Title,Default Title,,,,,SG421,,,not stocked,0,not stocked
smart-games-asteroid-escape,"Smart Games, Asteroid Escape",Title,Default Title,,,,,SG426,,,not stocked,0,not stocked
smartmax-my-first-sounds-and-senses,"SmartMax, My First Sounds And Senses",Title,Default Title,,,,,SMX224,,,not stocked,0,not stocked
smartmax-my-first-vehicles,"SmartMax, My First Vehicles",Title,Default Title,,,,,SMX226,,,not stocked,0,not stocked
smartmax-start,SmartMax Start,Title,Default Title,,,,,SMX309,,,not stocked,0,not stocked
smartmax-click-and-roll,SmartMax Click And Roll,Title,Default Title,,,,,SMX404,,,not stocked,0,not stocked
leikkien-liikuntaleikkipussi,Leikkien Liikuntaleikkipussi,Title,Default Title,,,,,L41807,,,not stocked,2,not stocked
leikkien-laululeikkipussi,Leikkien Laululeikkipussi,Title,Default Title,,,,,L41811,,,not stocked,2,not stocked
leikkien-liikennelorupussi,Leikkien Liikennelorupussi,Title,Default Title,,,,,L41808,,,not stocked,2,not stocked
leikkien-leppisleikki,Leikkien Leppisleikki,Title,Default Title,,,,,L30003,,,not stocked,1,not stocked
janod-kylpykamut,Janod Kylpykamut,Title,Default Title,,,,,J04702,,,not stocked,0,not stocked
ensimmainen-kuutiopalapelini-sininen-janod,Ensimmäinen Kuutiopalapelini Sininen | Janod,Title,Default Title,,,,,J08000,,,not stocked,0,not stocked
tornileikki-sopot-elaimet-janod,Tornileikki Söpöt Eläimet | Janod,Title,Default Title,,,,,J02652,,,not stocked,0,not stocked
magneettipujottelu-porriaiset-janod,Magneettipujottelu Pörriäiset | Janod,Title,Default Title,,,,,J05310,,,not stocked,0,not stocked
magneettikirja-dinosaurukset-janod,Magneettikirja Dinosaurukset | Janod,Title,Default Title,,,,,J02590,,,not stocked,0,not stocked
suloinen-pehmopallo-kaloo,Suloinen Pehmopallo | Kaloo,Title,Default Title,,,,,K962999,,,not stocked,0,not stocked
purulelu-kettu-kaloo,Purulelu Kettu | Kaloo,Title,Default Title,,,,,K969921,,,not stocked,0,not stocked
purulelu-pupu-kaloo,Purulelu Pupu | Kaloo,Title,Default Title,,,,,K969922,,,not stocked,0,not stocked
kasinukke-mayra-kaloo,Käsinukke Mäyrä | Kaloo,Title,Default Title,,,,,K963580,,,not stocked,0,not stocked
kasinukke-pupu-kaloo,Käsinukke Pupu | Kaloo,Title,Default Title,,,,,K963581,,,not stocked,0,not stocked
kasinukke-hiiri-kaloo,Käsinukke Hiiri | Kaloo,Title,Default Title,,,,,K963587,,,not stocked,0,not stocked
dinosaurus-leimasinsetti-janod,Dinosaurus Leimasinsetti | Janod,Title,Default Title,,,,,J07796,,,not stocked,4,not stocked
unicorn-leimasinsetti-janod,Unicorn Leimasinsetti | Janod,Title,Default Title,,,,,J07797,,,not stocked,0,not stocked
laakarilaukku-janod,Lääkärilaukku | Janod,Title,Default Title,,,,,J06513,,,not stocked,0,not stocked
meikkilaukku-janod,Meikkilaukku | Janod,Title,Default Title,,,,,J06514,,,not stocked,3,not stocked
leikkikeittio-tarvikkeilla-deluxe-janod,Leikkikeittiö Tarvikkeilla Deluxe | Janod,Title,Default Title,,,,,J06609,,,not stocked,0,not stocked
love-diana-mini-doll-15cm-kolme-erilaista,Muotinuket 15 cm - Mini Doll | Love Diana,Hahmo,Ice Skater,,,,,20516,,,not stocked,0,not stocked
love-diana-mini-doll-15cm-kolme-erilaista,Muotinuket 15 cm - Mini Doll | Love Diana,Hahmo,Soccer Star,,,,,20517,,,not stocked,0,not stocked
love-diana-mini-doll-15cm-kolme-erilaista,Muotinuket 15 cm - Mini Doll | Love Diana,Hahmo,Popstar,,,,,20519,,,not stocked,0,not stocked
projectx-animated-target-peli,ProjectX Animated Target -Peli,Title,Default Title,,,,,52608,,,not stocked,0,not stocked
dream-ella-varia-vaihtava-muotinukke,Dream Ella Väriä Vaihtava Muotinukke,Nukke,1,,,,,578024,,,not stocked,0,not stocked
dream-ella-varia-vaihtava-muotinukke,Dream Ella Väriä Vaihtava Muotinukke,Nukke,2,,,,,57801,,,not stocked,0,not stocked
dream-ella-varia-vaihtava-muotinukke,Dream Ella Väriä Vaihtava Muotinukke,Nukke,3,,,,,578000,,,not stocked,0,not stocked
cry-babies-magic-tears-series-1,Yllätyspakkaus Nukke 10 cm - Magic Tears Series 1 | Cry Babies,Title,Default Title,,,,,65198442,,,not stocked,0,not stocked
transformers-cyberverse-roll-and-convert-hahmo,Transformers Optimus Prime 25 cm - Cyberverse Dinobots Unite 25 cm | Hasbro,Title,Default Title,,,,,611136,,,not stocked,0,not stocked
baby-born-magic-boy-with-brown-eyes,Nukke poikavauva 43 cm - Magic Boy with Brown Eyes | BABY born,Title,Default Title,,,,,831656,,,not stocked,0,not stocked
transformers-bumblebee-cyberverse-roll-and-convert-25-cm-hasbro,Transformers Bumblebee 25 cm - Cyberverse Dinobots Unite | Hasbro,Title,Default Title,,,,,611136,,,not stocked,0,not stocked
roo-crew-stacking-rainbow,"Pinottava Sateenkaari, Ekomuovia | Roo Crew",Title,Default Title,,,,,58013,,,not stocked,0,not stocked
roo-crew-kitchen-workbench,Keittiö Leikkisetti | Roo Crew,Title,Default Title,,,,,58019,,,not stocked,-1,not stocked
roo-crew-workbench-playset,Työkalupenkki Leikkisetti | Roo Crew,Title,Default Title,,,,,58020,,,not stocked,0,not stocked
roo-crew-toolbox,"Roo Crew Työkalusetti, Ekomuovia",Title,Default Title,,,,,58022,,,not stocked,-1,not stocked
roo-crew-chunky-vehicles,Roo Crew Chunky Vehicles -Ekologiset Lelut,Title,Default Title,,,,,58001,,,not stocked,0,not stocked
roo-crew-racing-rascals-2-pack,Kilpa-autot ekomuovia 2 kpl pakkaus | Roo Crew Racing Rascals,Title,Default Title,,,,,58021,,,not stocked,-1,not stocked
